	pct_60_ncorr_1	pct_60_ncorr_1
	1	2
ctr	-0.03206822	-0.03198697
sn	NaN	NaN
flux	-26.12104265	-26.03147260
	pct_60_ncorr_2	pct_60_ncorr_2
	1	2
ctr	-0.03294696	-0.03261005
sn	NaN	NaN
flux	-27.27500840	-27.05131402
	pct_120_ncorr_1	pct_120_ncorr_1
	1	2
ctr	-0.02970439	-0.02978582
sn	NaN	NaN
flux	-23.61076850	-22.94413428
	pct_120_ncorr_2	pct_120_ncorr_2
	1	2
ctr	-0.03094184	-0.03077443
sn	NaN	NaN
flux	-24.87345176	-24.52921680
	pct_60_ncorr_1	pct_60_ncorr_1
	1	2
ctr	-0.03206822	-0.03198697
sn	NaN	NaN
flux	-26.12104265	-26.03147260
	pct_60_ncorr_2	pct_60_ncorr_2
	1	2
ctr	-0.03294696	-0.03261005
sn	NaN	NaN
flux	-27.27500840	-27.05131402
	pct_120_ncorr_1	pct_120_ncorr_1
	1	2
ctr	-0.02970439	-0.02978582
sn	NaN	NaN
flux	-23.61076850	-22.94413428
	pct_120_ncorr_2	pct_120_ncorr_2
	1	2
ctr	-0.03094184	-0.03077443
sn	NaN	NaN
flux	-24.87345176	-24.52921680
	pct_60_ncomp_1	pct_60_ncomp_1
	1	2
ctr	-0.03206822	-0.03294696
sn	NaN	NaN
flux	-26.12104265	-27.27500840
	pct_60_ncomp_2	pct_60_ncomp_2
	1	2
ctr	-0.03198697	-0.03261005
sn	NaN	NaN
flux	-26.03147260	-27.05131402
	pct_120_ncomp_1	pct_120_ncomp_1
	1	2
ctr	-0.02970439	-0.03094184
sn	NaN	NaN
flux	-23.61076850	-24.87345176
	pct_120_ncomp_2	pct_120_ncomp_2
	1	2
ctr	-0.02978582	-0.03077443
sn	NaN	NaN
flux	-22.94413428	-24.52921680
	ncorr_1_ncomp_1	ncorr_1_ncomp_1
	60	120
ctr	-0.03206822	-0.02970439
sn	NaN	NaN
flux	-26.12104265	-23.61076850
	ncorr_1_ncomp_2	ncorr_1_ncomp_2
	60	120
ctr	-0.03198697	-0.02978582
sn	NaN	NaN
flux	-26.03147260	-22.94413428
	ncorr_2_ncomp_1	ncorr_2_ncomp_1
	60	120
ctr	-0.03294696	-0.03094184
sn	NaN	NaN
flux	-27.27500840	-24.87345176
	ncorr_2_ncomp_2	ncorr_2_ncomp_2
	60	120
ctr	-0.03261005	-0.03077443
sn	NaN	NaN
flux	-27.05131402	-24.52921680
	pct_60_ncorr_1	pct_60_ncorr_1
	1	2
ctr	-0.03206822	-0.03198697
sn	NaN	NaN
flux	-26.12104265	-26.03147260
	pct_60_ncorr_2	pct_60_ncorr_2
	1	2
ctr	-0.03294696	-0.03261005
sn	NaN	NaN
flux	-27.27500840	-27.05131402
	pct_120_ncorr_1	pct_120_ncorr_1
	1	2
ctr	-0.02970439	-0.02978582
sn	NaN	NaN
flux	-23.61076850	-22.94413428
	pct_120_ncorr_2	pct_120_ncorr_2
	1	2
ctr	-0.03094184	-0.03077443
sn	NaN	NaN
flux	-24.87345176	-24.52921680
	pct_60_ncomp_1	pct_60_ncomp_1
	1	2
ctr	-0.03206822	-0.03294696
sn	NaN	NaN
flux	-26.12104265	-27.27500840
	pct_60_ncomp_2	pct_60_ncomp_2
	1	2
ctr	-0.03198697	-0.03261005
sn	NaN	NaN
flux	-26.03147260	-27.05131402
	pct_120_ncomp_1	pct_120_ncomp_1
	1	2
ctr	-0.02970439	-0.03094184
sn	NaN	NaN
flux	-23.61076850	-24.87345176
	pct_120_ncomp_2	pct_120_ncomp_2
	1	2
ctr	-0.02978582	-0.03077443
sn	NaN	NaN
flux	-22.94413428	-24.52921680
	ncorr_1_ncomp_1	ncorr_1_ncomp_1
	60	120
ctr	-0.03206822	-0.02970439
sn	NaN	NaN
flux	-26.12104265	-23.61076850
	ncorr_1_ncomp_2	ncorr_1_ncomp_2
	60	120
ctr	-0.03198697	-0.02978582
sn	NaN	NaN
flux	-26.03147260	-22.94413428
	ncorr_2_ncomp_1	ncorr_2_ncomp_1
	60	120
ctr	-0.03294696	-0.03094184
sn	NaN	NaN
flux	-27.27500840	-24.87345176
	ncorr_2_ncomp_2	ncorr_2_ncomp_2
	60	120
ctr	-0.03261005	-0.03077443
sn	NaN	NaN
flux	-27.05131402	-24.52921680
	pct_60_ncorr_1	pct_60_ncorr_1
	1	2
ctr	-0.02928961	-0.02848711
sn	NaN	NaN
flux	-30.64764615	-30.00773944
	pct_60_ncorr_2	pct_60_ncorr_2
	1	2
